FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
7399,Inglewood,27460,2009-10 Wildfire,2009/10/01 00:00:00+00,2009/10/03 00:00:00+00,22.33101398,3781.13989363,26/03/2020,Wildfire,2009-10,7454,2009,2009/01/01 00:00:00+00,222897.95703125,3777.64883025944
7400,Inglewood,27460,2009-10 Wildfire,2009/10/01 00:00:00+00,2009/10/03 00:00:00+00,110.87821675,6644.65824528,26/03/2020,Wildfire,2009-10,7455,2009,2009/01/01 00:00:00+00,1106742.8515625,6638.54446874124
7401,"Hilltop Rd&Honour Ave, Lawson",10012230076,2009-10 Wildfire,2010/01/22 00:00:00+00,2010/01/22 00:00:00+00,0.15125213,138.04093186,26/03/2020,Wildfire,2009-10,7456,2009,2009/01/01 00:00:00+00,1509.75390625,137.914691944303
7402,Wollemi Complex-Coricudgy,06111418873,2006-07 Wildfire,2006/11/13 00:00:00+00,2006/11/24 00:00:00+00,2577.56814119,32359.0488735,26/03/2020,Wildfire,2006-07,7457,2006,2006/01/01 00:00:00+00,25727289.3710938,32328.6629172918
7403,Rathdowney,BMR-05-016,2005-06 Wildfire,2006/02/12 00:00:00+00,2006/03/03 00:00:00+00,3044.0599546,73263.5267233,26/03/2020,Wildfire,2005-06,7458,2005,2005/01/01 00:00:00+00,30384462.1015625,73195.9124895788
7404,North Head Fire,SYD-0304-015,2003-04 Wildfire,2004/01/15 00:00:00+00,2004/01/20 00:00:00+00,18.2968705,3628.54766376,26/03/2020,Wildfire,2003-04,7459,2003,2003/01/01 00:00:00+00,182639.3125,3625.28004444808
7406,Bush Alight,0,2007-08 Wildfire,2008/01/07 00:00:00+00,,84.49547558,4903.94056153,26/03/2020,Wildfire,2007-08,7461,2007,2007/01/01 00:00:00+00,844412.52734375,4902.36520401426
7407,Bush Fire,0,2007-08 Wildfire,2008/02/19 00:00:00+00,,692.0469125,13492.9669055,26/03/2020,Wildfire,2007-08,7462,2007,2007/01/01 00:00:00+00,6921611.8984375,13494.0608216831
7554, ,0,2005-06 Wildfire,2006/02/14 00:00:00+00,,5.26080522,1022.07874892,26/03/2020,Wildfire,2005-06,7609,2005,2005/01/01 00:00:00+00,52568.19140625,1021.69161094179
7567,Toorale Fire,0,2008-09 Wildfire,2008/12/23 00:00:00+00,,13.66444344,2167.25657459,26/03/2020,Wildfire,2008-09,7622,2008,2008/01/01 00:00:00+00,136718.04296875,2167.84029609862
7618,Mount Dowe,0,2003-04 Wildfire,2003/01/21 00:00:00+00,,9.0376398,1205.14840325,26/03/2020,Wildfire,2003-04,7673,2003,2003/01/01 00:00:00+00,90446.09765625,1205.61295055309
7624,Binnaway,0,2002-03 Wildfire,2002/09/01 00:00:00+00,,9.92856695,1877.25480874,26/03/2020,Wildfire,2002-03,7679,2002,2002/01/01 00:00:00+00,99190.28515625,1876.35249887822
7625,Binnaway,0,2001-02 Wildfire,2002/03/01 00:00:00+00,,1.44991219,521.39455158,26/03/2020,Wildfire,2001-02,7680,2001,2001/01/01 00:00:00+00,14484.93359375,521.139517592311
7642,Wildfire,0,2001-02 Wildfire,2001/12/01 00:00:00+00,,10.81387947,1634.62334483,26/03/2020,Wildfire,2001-02,7697,2001,2001/01/01 00:00:00+00,108013.76171875,1633.67806377414
7660, ,0,2001-02 Wildfire,2001/11/27 00:00:00+00,,1584.41048431,39274.8723388,26/03/2020,Wildfire,2001-02,7715,2001,2001/01/01 00:00:00+00,15883959.6289062,39324.3018719015
7661,Nulty Springs Fire 2005,0,2005-06 Wildfire,2005/08/23 00:00:00+00,,77.9694743,7066.10477895,26/03/2020,Wildfire,2005-06,7716,2005,2005/01/01 00:00:00+00,781685.94921875,7075.10818317921
7662,Quanda WFR,0,2002-03 Wildfire,2003/03/01 00:00:00+00,,8.62961022,1501.94755042,26/03/2020,Wildfire,2002-03,7717,2002,2002/01/01 00:00:00+00,86188.38671875,1501.0100718648
7677,Narran Lake,0,2001-02 Wildfire,2001/12/20 00:00:00+00,,2271.6507415,25317.8743448,26/03/2020,Wildfire,2001-02,7732,2001,2001/01/01 00:00:00+00,22755172.4570312,25339.395121451
7728,Vallye View,0,2001-02 Wildfire,2001/12/20 00:00:00+00,,1443.7491124,17223.3086518,26/03/2020,Wildfire,2001-02,7783,2001,2001/01/01 00:00:00+00,14411744.4296875,17207.9417514808
7763,Goonoo Frost Rd,19737,2007-08 Wildfire,2007/01/12 00:00:00+00,2007/02/12 00:00:00+00,26635.3477738,148372.810195,26/03/2020,Wildfire,2007-08,7818,2007,2007/01/01 00:00:00+00,265978887.992188,148268.311983551
7810,Claggers Spring,0,2001-02 Wildfire,2002/01/04 00:00:00+00,,27537.6324126,104457.860039,26/03/2020,Wildfire,2001-02,7865,2001,2001/01/01 00:00:00+00,274878176.9375,104363.381478142
7813,Sunnycorner 2005,0,2004-05 Wildfire,2005/04/28 00:00:00+00,,10.88742433,1511.71005431,26/03/2020,Wildfire,2004-05,7868,2004,2004/01/01 00:00:00+00,108670.17578125,1510.29269822541
7839,Redbank Fire,0,2005-06 Wildfire,2006/01/07 00:00:00+00,,1.07773906,1170.5422116,26/03/2020,Wildfire,2005-06,7894,2005,2005/01/01 00:00:00+00,10761.1015625,1169.65536177908
7903,Weddin Mountain,0,2005-06 Wildfire,2006/02/09 00:00:00+00,,6016.63347748,54886.3601492,26/03/2020,Wildfire,2005-06,7958,2005,2005/01/01 00:00:00+00,60060407.6875,54837.9171866834
